"otu","Aggregation_score","B_vitamins","Copies_16S","GC_content","Gene_number","Genome_Mb","Gram_positive","IgA","Length","Motility","Oxygen_tolerance","pH_optimum","Salt_optimum","Temp_optimum","Width","Sporulation"
"otu4333897",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"otu190162",NA,3.5,2.06175298804781,40.9666666666667,4810,5.12875,1,1.71968548040782,0.596961234236217,0,1,6.2,NA,37,-0.430782916092454,0.542142857142857
"otu289734",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"otu3475269",NA,7,5,41.9,5000,6.473895,NA,0.380318607134528,NA,NA,1,NA,NA,NA,NA,0.17
"otu302049",NA,3.5,2.06175298804781,40.9666666666667,4810,5.12875,1,1.71968548040782,0.596961234236217,0,1,6.2,NA,37,-0.430782916092454,0.542142857142857
"otu593422",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"otu3903651",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"otu1061772",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"otu3211875",0.9,6.57894736842105,5.39382242792538,43.2073047619048,4391.40833333333,5.34791891666667,0,0.509400977856766,1.0013742551942,0,1.04651162790698,7.12727272727273,0.2,36.3684210526316,-0.164162950863495,0.173589743589744
"otu4390365",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"otu297143",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"otu1838560",0.857142857142857,3.41911764705882,8.50528519320038,33.0253056038415,3873.73040497245,4.22359989389978,0.735294117647059,1.38356388443176,1.34244312774917,0.823529411764706,1.06940017386265,7.12777777777778,0.867857142857143,38.2222222222222,-0.366825985485498,0.666944477387729
"otu4465907",NA,3.5,2.06175298804781,40.9666666666667,4810,5.12875,1,1.71968548040782,0.596961234236217,0,1,6.2,NA,37,-0.430782916092454,0.542142857142857
"otu4472399",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"otu4454531",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"otu292735",NA,3.5,2.06175298804781,40.9666666666667,4810,5.12875,1,1.71968548040782,0.596961234236217,0,1,6.2,NA,37,-0.430782916092454,0.542142857142857
"otu3754926",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"otu3272632",0.9,6.57894736842105,5.39382242792538,43.2073047619048,4391.40833333333,5.34791891666667,0,0.509400977856766,1.0013742551942,0,1.04651162790698,7.12727272727273,0.2,36.3684210526316,-0.164162950863495,0.173589743589744
"otu342666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"otu194672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"otu4326452",NA,3,5,NA,NA,NA,NA,1.09992973072676,NA,NA,1,NA,NA,NA,NA,NA
"otu4357811",0.9,6.57894736842105,5.39382242792538,43.2073047619048,4391.40833333333,5.34791891666667,0,0.509400977856766,1.0013742551942,0,1.04651162790698,7.12727272727273,0.2,36.3684210526316,-0.164162950863495,0.173589743589744
"otu187665",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"otu182517",NA,3,1,NA,NA,NA,NA,2.11611441137805,NA,NA,NA,NA,NA,NA,NA,0.595
"otu3413566",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"otu4374853",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"otu189920",0.9,6.57894736842105,5.39382242792538,43.2073047619048,4391.40833333333,5.34791891666667,0,0.509400977856766,1.0013742551942,0,1.04651162790698,7.12727272727273,0.2,36.3684210526316,-0.164162950863495,0.173589743589744
"otu3409376",NA,3,1,NA,NA,NA,NA,2.11611441137805,NA,NA,NA,NA,NA,NA,NA,0.595
"otu193672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"otu178738",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"otu4391262",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"otu315982",NA,NA,5.26315789473684,28.32585,3110.5,3.3913,NA,1.08076868998316,NA,NA,1,NA,NA,NA,NA,0.72
"otu119010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"otu184990",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"otu4439360",0.9,6.57894736842105,5.39382242792538,43.2073047619048,4391.40833333333,5.34791891666667,0,0.509400977856766,1.0013742551942,0,1.04651162790698,7.12727272727273,0.2,36.3684210526316,-0.164162950863495,0.173589743589744
"otu1917420",NA,3,1,NA,NA,NA,NA,2.11611441137805,NA,NA,NA,NA,NA,NA,NA,0.595
"otu526682",1,2,3,66.6611111111111,2223.8,2.629716,0.984126984126984,1.76713117817318,0.852260834498244,0,2.57284257942153,7,0.375,35.3333333333333,-0.433372221626279,0
"otu193709",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"otu122049",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"otu3141094",0.9,6.57894736842105,5.39382242792538,43.2073047619048,4391.40833333333,5.34791891666667,0,0.509400977856766,1.0013742551942,0,1.04651162790698,7.12727272727273,0.2,36.3684210526316,-0.164162950863495,0.173589743589744
"otu4334770",NA,3,5,NA,NA,NA,NA,1.09992973072676,NA,NA,1,NA,NA,NA,NA,NA
"otu3138798",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"otu3321163",NA,3,1,NA,NA,NA,NA,2.11611441137805,NA,NA,NA,NA,NA,NA,NA,0.595
"otu4446902",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"otu194089",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"otu181422",NA,2,4.0253164556962,NA,NA,NA,NA,1.86465543722801,NA,NA,1,NA,NA,NA,NA,0.386
"otu365842",NA,2,4.0253164556962,NA,NA,NA,NA,1.86465543722801,NA,NA,1,NA,NA,NA,NA,0.386
"otu2689396",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"otu782953",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"otu174818",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"otu3472078",0.9,6.57894736842105,5.39382242792538,43.2073047619048,4391.40833333333,5.34791891666667,0,0.509400977856766,1.0013742551942,0,1.04651162790698,7.12727272727273,0.2,36.3684210526316,-0.164162950863495,0.173589743589744
"otu1992",0.9,6.57894736842105,5.39382242792538,43.2073047619048,4391.40833333333,5.34791891666667,0,0.509400977856766,1.0013742551942,0,1.04651162790698,7.12727272727273,0.2,36.3684210526316,-0.164162950863495,0.173589743589744
"otu1034960",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"otu4372612",0.9,6.57894736842105,5.39382242792538,43.2073047619048,4391.40833333333,5.34791891666667,0,0.509400977856766,1.0013742551942,0,1.04651162790698,7.12727272727273,0.2,36.3684210526316,-0.164162950863495,0.173589743589744
"otu4481861",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"otu4425571",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"otu179826",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"otu184037",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"otu335577",NA,3.5,2.06175298804781,40.9666666666667,4810,5.12875,1,1.71968548040782,0.596961234236217,0,1,6.2,NA,37,-0.430782916092454,0.542142857142857
"otu304047",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"otu197072",NA,8,5,NA,NA,NA,NA,0.369476725166008,NA,NA,1,NA,NA,NA,NA,0.176666666666667
"otu192684",0.9,6.57894736842105,5.39382242792538,43.2073047619048,4391.40833333333,5.34791891666667,0,0.509400977856766,1.0013742551942,0,1.04651162790698,7.12727272727273,0.2,36.3684210526316,-0.164162950863495,0.173589743589744
"otu368490",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"otu187623",NA,7,5,41.9,5000,6.473895,NA,0.380318607134528,NA,NA,1,NA,NA,NA,NA,0.17
"otu235424",0.857142857142857,3.41911764705882,8.50528519320038,33.0253056038415,3873.73040497245,4.22359989389978,0.735294117647059,1.38356388443176,1.34244312774917,0.823529411764706,1.06940017386265,7.12777777777778,0.867857142857143,38.2222222222222,-0.366825985485498,0.666944477387729
"otu4079463",NA,3,6,39.6,2056,2.08688,NA,1.80231147922204,NA,NA,4,NA,NA,NA,NA,NA
"otu308544",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"otu365717",NA,2,4.0253164556962,NA,NA,NA,NA,1.86465543722801,NA,NA,1,NA,NA,NA,NA,0.386
"otu4419650",NA,5.5,4.72079772079772,NA,NA,NA,NA,0.720327936327987,NA,NA,NA,NA,NA,NA,NA,0.509333333333333
"otu271159",NA,0,4,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"otu3256931",0.9,6.57894736842105,5.39382242792538,43.2073047619048,4391.40833333333,5.34791891666667,0,0.509400977856766,1.0013742551942,0,1.04651162790698,7.12727272727273,0.2,36.3684210526316,-0.164162950863495,0.173589743589744
"otu2487129",0.9,6.57894736842105,5.39382242792538,43.2073047619048,4391.40833333333,5.34791891666667,0,0.509400977856766,1.0013742551942,0,1.04651162790698,7.12727272727273,0.2,36.3684210526316,-0.164162950863495,0.173589743589744
"otu2942332",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"otu3926480",NA,3.5,2.05208333333333,48.5,3362,3.59212,NA,0.434337807980609,NA,NA,1,NA,NA,NA,NA,0.609
"otu179911",NA,5.5,4.72079772079772,NA,NA,NA,NA,0.720327936327987,NA,NA,NA,NA,NA,NA,NA,0.509333333333333
"otu196391",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"otu180629",NA,3.5,2.06175298804781,40.9666666666667,4810,5.12875,1,1.71968548040782,0.596961234236217,0,1,6.2,NA,37,-0.430782916092454,0.542142857142857
"otu186687",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"otu4396656",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"otu196990",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"otu186723",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"otu72820",1,5,3.45,59.9863888888889,2143.05555555556,2.43730611111111,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"otu323106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"otu3426658",0.9,6.57894736842105,5.39382242792538,43.2073047619048,4391.40833333333,5.34791891666667,0,0.509400977856766,1.0013742551942,0,1.04651162790698,7.12727272727273,0.2,36.3684210526316,-0.164162950863495,0.173589743589744
"otu302932",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"otu3563235",0.9,6.57894736842105,5.39382242792538,43.2073047619048,4391.40833333333,5.34791891666667,0,0.509400977856766,1.0013742551942,0,1.04651162790698,7.12727272727273,0.2,36.3684210526316,-0.164162950863495,0.173589743589744
"otu191483",0.9,6.57894736842105,5.39382242792538,43.2073047619048,4391.40833333333,5.34791891666667,0,0.509400977856766,1.0013742551942,0,1.04651162790698,7.12727272727273,0.2,36.3684210526316,-0.164162950863495,0.173589743589744
"otu174353",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"otu668514",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"otu825808",1,2.86428571428571,3.52734420638061,58.9993323610252,1832.66442577031,2.20476145802563,1,2.78350446763607,0.586158734479016,0,1.057585995086,6.75,NA,32.875,-0.465448232324464,0.119285714285714
"otu4401580",0.9,6.57894736842105,5.39382242792538,43.2073047619048,4391.40833333333,5.34791891666667,0,0.509400977856766,1.0013742551942,0,1.04651162790698,7.12727272727273,0.2,36.3684210526316,-0.164162950863495,0.173589743589744
"otu363735",NA,3.5,2.06175298804781,40.9666666666667,4810,5.12875,1,1.71968548040782,0.596961234236217,0,1,6.2,NA,37,-0.430782916092454,0.542142857142857
"otu4388775",NA,3,5,NA,NA,NA,NA,1.09992973072676,NA,NA,1,NA,NA,NA,NA,NA
"otu4347159",1,3,3.66666666666667,59.2666666666667,1799.66666666667,2.15552666666667,NA,2.78150112194421,NA,NA,1,NA,NA,NA,NA,0.13
"otu187569",NA,5.5,4.72079772079772,NA,NA,NA,NA,0.720327936327987,NA,NA,NA,NA,NA,NA,NA,0.509333333333333
"otu197481",NA,3.5,2.06175298804781,40.9666666666667,4810,5.12875,1,1.71968548040782,0.596961234236217,0,1,6.2,NA,37,-0.430782916092454,0.542142857142857
"otu193367",NA,3.5,2.06175298804781,40.9666666666667,4810,5.12875,1,1.71968548040782,0.596961234236217,0,1,6.2,NA,37,-0.430782916092454,0.542142857142857
"otu580629",0.9,6.57894736842105,5.39382242792538,43.2073047619048,4391.40833333333,5.34791891666667,0,0.509400977856766,1.0013742551942,0,1.04651162790698,7.12727272727273,0.2,36.3684210526316,-0.164162950863495,0.173589743589744
"otu198503",NA,3.5,2.06175298804781,40.9666666666667,4810,5.12875,1,1.71968548040782,0.596961234236217,0,1,6.2,NA,37,-0.430782916092454,0.542142857142857
"otu4433823",NA,8,5.20689655172414,43.2101833333333,4603.83333333333,5.21653666666667,NA,1.57112254907751,NA,NA,1,NA,NA,NA,NA,0.17
"otu4232045",0.9,6.57894736842105,5.39382242792538,43.2073047619048,4391.40833333333,5.34791891666667,0,0.509400977856766,1.0013742551942,0,1.04651162790698,7.12727272727273,0.2,36.3684210526316,-0.164162950863495,0.173589743589744
"otu3430935",NA,2,4.0253164556962,NA,NA,NA,NA,1.86465543722801,NA,NA,1,NA,NA,NA,NA,0.386
"otu4390319",NA,7,5,41.9,5000,6.473895,NA,0.380318607134528,NA,NA,1,NA,NA,NA,NA,0.17
"otu4386761",0.9,6.57894736842105,5.39382242792538,43.2073047619048,4391.40833333333,5.34791891666667,0,0.509400977856766,1.0013742551942,0,1.04651162790698,7.12727272727273,0.2,36.3684210526316,-0.164162950863495,0.173589743589744
"otu2683271",NA,3,1,NA,NA,NA,NA,2.11611441137805,NA,NA,NA,NA,NA,NA,NA,0.595
"otu535955",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"otu190100",NA,3.5,2.06175298804781,40.9666666666667,4810,5.12875,1,1.71968548040782,0.596961234236217,0,1,6.2,NA,37,-0.430782916092454,0.542142857142857
"otu4111715",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"otu1860112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
