#OTU_IDs	16S_rRNA_Count
228054	1
228057	1
378462	5
89370	9
370251	5
4361271	2
370253	4
2562097	10
2562091	2
4361279	3
4369464	3
4369469	2
4369468	1
4473812	2
3209311	3
4473818	4
4470541	2
4424923	4
4470542	2
4424926	3
4424927	2
4470547	3
4424925	3
4470549	3
649518	3
4424928	2
4424929	3
252560	2
2592645	3
1554029	3
494928	3
4364734	2
4364732	3
458334	2
4364739	2
638078	1
776288	2
97153	2
97151	3
638076	12
776283	3
260291	5
780912	2
260296	3
4091971	3
16708	10
3690413	1
762274	3
842284	2
4321924	5
16700	2
762273	3
88021	2
323050	4
323057	2
583935	5
583936	4
247493	1
583939	3
549759	2
2562090	4
545968	3
1045429	4
119865	4
119867	1
545961	4
545963	4
494316	3
4302248	2
671257	3
510585	5
671258	2
510587	2
510586	1
235963	2
235962	2
1882280	6
176062	4
176063	2
176060	4
176067	1
4370042	1
4324256	6
247460	7
554377	2
818562	6
554375	1
554372	4
4363440	2
818568	2
742886	3
353261	2
821003	1
656967	4
821005	2
250992	3
306947	4
306940	2
4362194	2
4362195	2
4362196	6
4362197	2
4362191	2
168084	3
820758	2
705060	5
823067	8
2355481	2
2355484	3
160257	2
160254	2
160252	4
46867	6
1032480	1
103548	10
3443119	6
926665	4
2460828	3
320502	9
320503	10
320507	1
527973	4
3820027	3
2595969	5
2595968	2
4403161	6
4403163	6
163507	10
2595967	4
4403168	6
513052	2
513053	2
342642	3
127471	3
513055	2
2140550	1
3078693	2
4325126	6
549936	2
587135	3
549934	1
549935	6
549933	11
828183	3
828182	1
4356914	3
4356913	3
587139	2
549939	2
1144394	2
2616102	6
533393	1
584440	5
1144393	5
4238463	2
3634427	3
1042479	4
1042986	5
256125	7
2464259	1
256121	3
7213	6
3887788	2
256129	2
2316501	1
290485	2
4419621	4
290480	4
1035136	5
1035137	4
290489	3
467805	4
4350787	7
4419624	3
1141411	2
1141414	4
242149	6
242147	1
1141418	3
242145	2
242143	3
242142	2
242141	4
433883	2
303230	1
303233	2
303239	4
27616	8
2416148	2
4478152	2
4447934	3
4447935	3
4447932	6
4447933	3
4447930	3
4447931	3
174680	1
828130	6
263179	1
192881	1
174685	1
174686	3
557633	1
174688	2
174689	2
263171	3
4402618	1
4402619	2
4402610	4
1137375	4
4474781	3
4474780	3
4474787	4
564842	1
4474785	2
564840	2
4474788	2
564849	1
564848	2
257650	4
2735525	2
2463703	1
257659	3
570826	2
570829	1
1119473	3
1119470	2
816268	3
816265	2
52818	6
1037199	5
3681526	1
141161	2
4364733	1
107898	5
1134668	5
107893	3
107892	3
107895	3
609982	7
2475359	4
617348	2
161513	2
277903	1
277901	1
617340	3
617346	4
1685009	1
150160	1
92882	3
4334911	5
4475432	3
572083	3
4327501	4
572089	2
4475439	2
296200	3
266452	4
4379957	1
662505	2
807338	3
266455	2
310906	2
807337	2
266458	6
4379958	3
4379959	3
4405135	2
570634	2
179598	5
4405133	3
683458	2
424151	5
4027691	1
1107648	6
1107649	4
670399	3
4027696	2
670397	4
4027698	1
1107640	3
1014594	5
1107645	3
4132634	3
431627	5
773133	3
3866704	2
938834	5
2795129	8
672735	1
956283	3
672733	1
581168	3
193647	6
535138	4
3148892	2
250382	3
141846	3
105630	4
141845	3
535135	3
515067	7
105637	2
2001885	3
1105864	2
