GenomeID	pH_optimum
678402	5.5
824284	5.5
820075	5.5
817305	5.5
564228	5.5
108279	5.5
582121	5.5
536378	5.5
243125	5.5
488026	5.5
488071	5.5
488090	5.5
589503	5.5
4331428	5.5
246525	5.5
1132548	5.5
243869	5.5
4331425	5.5
249845	5.5
4445213	5.5
537197	5.5
591112	5.5
567472	5.5
576126	5.5
4331429	5.5
236267	5.5
585161	5.5
4341752	5.5
878103	5.5
4331431	5.5
247510	5.5
247554	5.5
1131270	5.5
253815	5.5
900015	5.5
253918	5.5
540939	5.5
274467	5.5
111281	5.5
560027	7.9
147268	7.9
80229	7.9
715166	7.9
80619	7.9
1110537	7.9
405823	7.9
396579	7.9
1106056	7.9
89370	8
582313	8
300272	8
264371	8
1643426	8
4462425	8
3828866	8
2725290	8
4436005	8
1939082	8
4318644	8
101225	8
4349383	8
3172055	8
4472698	8
362192	8
2603843	8
4141536	8
3199526	8
4377394	8
4377397	8
4349531	8
4335424	8
4335425	8
1728557	8
4340434	8
4334171	8
4435696	8
4381761	8
2955237	8
2565981	8
4393588	8
2275496	8
3701499	8
4370071	8
4438292	8
3392830	8
2023732	8
1986663	8
3828901	8
3215238	8
2547782	8
4435582	8
4298954	8
2746349	8
4414471	8
3286271	8
3350673	8
4459436	8
3358212	8
4224600	8
3552939	8
4378739	8
4380948	8
4457419	8
105715	8
4439734	8
4348778	8
2612553	8
3654884	8
3283485	8
3353110	8
4429321	8
3093917	8
4454243	8
4411622	8
4364539	8
3353115	8
4401769	8
3576919	8
4063706	8
1863015	8
4367696	8
3718728	8
3684927	8
1678863	8
3012786	8
2615651	8
3924713	8
3023154	8
4419600	8
4463076	8
4081300	8
3028530	8
4445071	8
608396	8
2312840	8
3613883	8
4366033	8
4362976	8
4362978	8
2527437	8
2871842	8
3517729	8
3828801	8
3629684	8
367117	8
2797980	8
3193578	8
2346437	8
4330131	8
2089436	8
2089435	8
3015891	8
4233969	8
3689523	8
2301851	8
4289383	8
1505573	8
4348819	8
364599	8
368363	8
3192591	8
2215848	8
3620082	8
4324656	8
4415196	8
363871	8
2772153	8
4013058	8
1658679	8
4385601	8
3799748	8
3040949	8
3457677	8
2852075	8
2238671	8
4465038	8
3195726	8
4391566	8
3899011	8
4302782	8
2952733	8
4331694	8
2204505	8
2578374	8
3267887	8
4475960	8
3611916	8
4351733	8
2142771	8
4415516	8
1741490	8
4358305	8
1776887	8
3598946	8
3117035	8
2572347	8
1571244	8
4346815	8
4475844	8
4469890	8
2805447	8
3218884	8
3696410	8
2849737	8
4377396	8
3530920	8
4446480	8
4331471	8
2825793	8
4395524	8
3237716	8
4483329	8
4371578	8
2457858	8
4354060	8
1580377	8
971543	8
856927	8
670334	8
691108	8
629425	8
648064	8
663706	8
728041	8
665996	8
765665	8
655170	8
799426	8
622088	8
663858	8
771394	8
696166	8
608824	8
725316	8
680340	8
768887	8
718281	8
786388	8
405388	8
393884	8
543604	8
553327	8
656182	8
373663	8
1604096	8
4450732	8
702079	8
4326280	8
4210139	8
3215831	8
4386407	8
4366912	8
296462	8
1815416	8
3327541	8
4469924	8
4052620	8
727220	8
88281	8
366952	8
2270271	8
2441330	8
3403069	8
2268864	8
2377390	8
4128043	8
4376477	8
3997008	8
4359666	8
4480138	8
696423	8
214774	8
84072	8
2282633	8
3747075	8
4469020	8
3758550	8
2858777	8
2806316	8
4374581	8
3019899	8
4435120	8
4416175	8
3073033	8
4352894	8
2484313	8
2876794	8
3487222	8
3758543	8
1741679	8
4397810	8
82680	8
3196189	8
2374730	8
3662644	8
4381348	8
2388086	8
4393291	8
2216074	8
1638969	8
2227908	8
4328563	8
4480825	8
2085957	8
4465002	8
4200912	8
3191202	8
4386639	8
3072298	8
2558489	8
2558483	8
361437	8
357983	8
2592157	8
4406750	8
3216827	8
1626043	8
3713334	8
1959226	8
4434820	8
4446044	8
1700045	8
4432495	8
4324686	8
2600153	8
4396081	8
2427514	8
2792230	8
3725875	8
3129560	8
3843891	8
3579221	8
3278921	8
3648977	8
4361622	8
4475196	8
1938800	8
4327358	8
4457421	8
4471871	8
1595212	8
3184773	8
4337962	8
4452194	8
4405246	8
1773578	8
1937041	8
4450801	8
2074317	8
3196812	8
2096650	8
4154328	8
2045113	8
1593225	8
3917518	8
3353108	8
4360721	8
4421750	8
3623953	8
4068754	8
4387753	8
3567032	8
2005110	8
2343952	8
4449981	8
2092112	8
3978871	8
4477073	8
4414464	8
4443219	8
4449376	8
1982027	8
2870679	8
4355702	8
4387708	8
4392693	8
2074864	8
4072712	8
4471114	8
2796208	8
2484202	8
3285237	8
4475361	8
3583934	8
4345205	8
4328866	8
4444665	8
4328867	8
4353743	8
4353742	8
4368917	8
325698	8
2237539	8
4373885	8
2658175	8
3587179	8
4350588	8
4350587	8
4454636	8
4402723	8
1856851	8
4457925	8
4458883	8
4458886	8
4336294	8
4400499	8
4433112	8
2890159	8
3926233	8
3358214	8
3250226	8
4455585	8
4049987	8
3008794	8
3747074	8
4454248	8
3078940	8
2035406	8
2314389	8
4328551	8
4184572	8
4417324	8
4385917	8
2687755	8
4482504	8
3008042	8
1733120	8
3832677	8
4434766	8
2950921	8
3832470	8
4296837	8
4346496	8
4141759	8
1661969	8
4251321	8
4184567	8
1521362	8
3931540	8
3189620	8
4468510	8
4341446	8
4329146	8
4347526	8
4353496	8
4325158	8
4335481	8
1571221	8
2029689	8
4455519	8
3915203	8
4441259	8
3670453	8
4373977	8
4350288	8
3209979	8
4191310	8
4474370	8
4457498	8
4445569	8
4387754	8
2789395	8
4407367	8
4299833	8
1571240	8
1593224	8
3671152	8
1705127	8
2560612	8
4473710	8
2658706	8
3569800	8
4481711	8
4446064	8
3440974	8
1913688	8
2287437	8
1750665	8
1593218	8
4475963	8
3815959	8
1980585	8
3453391	8
4407990	8
3303757	8
4474367	8
4137240	8
4128775	8
3594551	8
3152796	8
2921545	8
4471115	8
2565984	8
3314177	8
4367644	8
3708140	8
2091371	8
4364124	8
4120222	8
3724366	8
4392605	8
4346691	8
4336642	8
1817268	8
2551492	8
3578744	8
4251761	8
4454717	8
2507344	8
1693610	8
4436198	8
3511772	8
4351671	8
2427943	8
4366028	8
3933494	8
4450635	8
4199281	8
4436663	8
4326282	8
4360723	8
1993717	8
2893542	8
3035959	8
1959225	8
2491914	8
2166233	8
1742239	8
4159128	8
2840210	8
2535454	8
4421901	8
2766325	8
2275483	8
2493508	8
4392604	8
3901547	8
3029456	8
4315367	8
2738384	8
108674	8
557384	8
4391715	8
3334986	8
4178495	8
4451441	8
2272564	8
2272569	8
4467203	8
1803622	8
3487212	8
297365	8
4141001	8
4336314	8
4471106	8
4353728	8
2195545	8
3547941	8
4352271	8
4382253	8
4174920	8
613397	8
64346	8
85315	8
2070191	8
4438848	8
4369741	8
4397012	8
2207436	8
1744263	8
2799290	8
4384510	8
4340950	8
4353996	8
4390926	8
2177520	8
2540435	8
1999047	8
3974601	8
4139745	8
3226031	8
2881200	8
4417696	8
2016291	8
2560610	8
4336645	8
4219229	8
3995347	8
4318777	8
2026018	8
2558589	8
4384872	8
4404626	8
4477074	8
4341925	8
4402676	8
4436875	8
3374366	8
4242719	8
2073631	8
4431099	8
4014303	8
2828382	8
4381498	8
4342269	8
3971964	8
4219225	8
4376593	8
4384322	8
4429792	8
3429725	8
4327261	8
3724775	8
4345398	8
4415451	8
4352895	8
4139740	8
4457684	8
2935730	8
3089946	8
2272565	8
3019708	8
2928891	8
3148483	8
4409801	8
1661618	8
4440884	8
3400359	8
3704026	8
4451435	8
2779753	8
4219230	8
2955143	8
3817528	8
2832768	8
3100940	8
4421080	8
4442898	8
3163325	8
3705204	8
4366472	8
1640464	8
4387362	8
3373552	8
2662605	8
4481865	8
4389377	8
4434245	8
4375471	8
3199531	8
4419541	8
3601533	8
4441837	8
2371685	8
3729632	8
3161956	8
4427803	8
4424274	8
4198777	8
4328060	8
4470412	8
2578094	8
4416840	8
4398294	8
3548549	8
4481641	8
4405559	8
1592057	8
2464221	8
4350195	8
2253805	8
2244841	8
4447301	8
2890166	8
4326281	8
3333304	8
4364369	8
4445072	8
4422421	8
4287948	8
2090906	8
3198431	8
1737319	8
3303752	8
4369564	8
4481643	8
4459429	8
4343182	8
4343178	8
2132856	8
4420599	8
4234373	8
4429197	8
3758546	8
3175653	8
4384749	8
2493219	8
4474766	8
3321279	8
4339554	8
3260981	8
2818413	8
2064831	8
4392162	8
1741676	8
4377657	8
3660358	8
4437041	8
4474329	8
1766442	8
1712180	8
3728861	8
1866486	8
4330175	8
3882055	8
1512313	8
3333306	8
4476645	8
4447047	8
4187121	8
2567744	8
4438926	8
3294558	8
2881202	8
4464153	8
2820244	8
3725871	8
4481886	8
4464710	8
4386166	8
4369197	8
4479875	8
3013696	8
4373914	8
2598157	8
4384746	8
3426409	8
2671127	8
4344698	8
4483025	8
1593220	8
2592159	8
4412568	8
2529470	8
2685537	8
2074861	8
4332870	8
3896306	8
3165591	8
3912762	8
4350479	8
4421219	8
4375533	8
1791899	8
3678628	8
4418683	8
3834798	8
4444099	8
3823339	8
4324836	8
2795077	8
1938797	8
3899010	8
1961211	8
2820531	8
4217461	8
4392289	8
4371199	8
4212794	8
3955717	8
2479570	8
4048869	8
4424560	8
4079462	8
4335827	8
2051275	8
3241536	8
4324611	8
4354265	8
2454585	8
1523812	8
2820540	8
4466377	8
4336859	8
1750400	8
3601610	8
4478175	8
2624938	8
3164925	8
4355433	8
3936549	8
2812402	8
4418637	8
4356922	8
4473610	8
4449982	8
2064575	8
2858776	8
3934299	8
4391581	8
4037004	8
4109682	8
3815248	8
4378965	8
1540211	8
4380093	8
3393026	8
2175677	8
4383786	8
4010228	8
4224611	8
4359523	8
4372292	8
4461653	8
4382933	8
4382251	8
4349769	8
4404677	8
1834642	8
3785616	8
4368695	8
4478091	8
2253803	8
2253807	8
4443516	8
2927630	8
2051277	8
2051280	8
2700814	8
4392288	8
3403504	8
3740038	8
1853631	8
2096477	8
3813505	8
3655137	8
4418713	8
2163617	8
4469021	8
4440003	8
4438898	8
4438900	8
4342943	8
4479641	8
4408452	8
4366654	8
1786242	8
3644246	8
2578093	8
4397809	8
3453402	8
4128050	8
4409737	8
4445069	8
3947187	8
4337359	8
4410203	8
3163321	8
3832474	8
1626546	8
2035148	8
4476038	8
1938977	8
4475883	8
3118802	8
4305472	8
2195541	8
3670937	8
4391565	8
4436360	8
4481616	8
2795009	8
2237542	8
3646393	8
2209310	8
4433747	8
4472392	8
3023247	8
4397884	8
3733070	8
4414936	8
3311090	8
4251762	8
3594560	8
4441437	8
4452785	8
4390648	8
3668033	8
1774547	8
3453405	8
2064578	8
4324383	8
3620083	8
2921543	8
4341516	8
3209978	8
1856848	8
3603152	8
1777272	8
4364461	8
4324832	8
2833154	8
1838125	8
4425357	8
2738382	8
2074307	8
4459688	8
2787338	8
2852944	8
1545876	8
1545874	8
3670934	8
4461296	8
3506101	8
4328543	8
2493502	8
4465681	8
2919674	8
4128051	8
3035909	8
1734664	8
4340795	8
3177808	8
4465186	8
3071263	8
3400356	8
4403784	8
4406078	8
4373146	8
4364462	8
1959228	8
2615643	8
1777113	8
2355001	8
2490933	8
4447147	8
4369376	8
3270003	8
4472558	8
4191301	8
3069471	8
4385335	8
4417393	8
4361977	8
1847106	8
4395368	8
4432885	8
2941627	8
2941615	8
4411904	8
3129575	8
4452687	8
4325433	8
3813510	8
1572117	8
3544470	8
3164213	8
2143193	8
3614196	8
4450799	8
1593226	8
3093375	8
4338898	8
3624677	8
3449653	8
1695962	8
4476036	8
4443532	8
4435705	8
4445865	8
4349358	8
4345961	8
2183541	8
291342	8
2048825	8
3923279	8
2944295	8
2567755	8
4141757	8
4359686	8
4475907	8
4417939	8
2805453	8
2825795	8
4427442	8
4438809	8
1682991	8
4475199	8
3450069	8
4336526	8
4355427	8
2772152	8
4415031	8
4423323	8
4380204	8
4471600	8
3302094	8
2568781	8
3931402	8
2167217	8
4440401	8
3060693	8
4331470	8
4415002	8
4315044	8
4325608	8
2545522	8
4306245	8
4438895	8
4449721	8
4366315	8
2890164	8
4402724	8
2027464	8
4435318	8
4412269	8
1654750	8
4468504	8
3793356	8
2016292	8
3316288	8
4035262	8
2387996	8
4347926	8
4482231	8
4350054	8
4449234	8
4326863	8
3113490	8
4481466	8
2082342	8
2107886	8
4470102	8
4350167	8
2964355	8
3403066	8
4434825	8
4424567	8
2529473	8
1778833	8
2780570	8
1641407	8
3784837	8
2269844	8
4426876	8
3347434	8
4435687	8
2315055	8
2578087	8
4446065	8
