GenomeID	Temp_optimum
4330518	33.5
4374321	33.5
4374322	33.5
343318	33.5
348713	33.5
4309524	33.5
182826	33.5
181761	33.5
338711	33.5
8331	33.5
678402	28.5
824284	28.5
820075	28.5
817305	28.5
564228	28.5
108279	28.5
582121	28.5
536378	28.5
243125	28.5
488026	28.5
488071	28.5
488090	28.5
589503	28.5
4331428	28.5
246525	28.5
1132548	28.5
243869	28.5
4331425	28.5
249845	28.5
4445213	28.5
537197	28.5
591112	28.5
567472	28.5
576126	28.5
4331429	28.5
236267	28.5
585161	28.5
4341752	28.5
878103	28.5
4331431	28.5
247510	28.5
247554	28.5
1131270	28.5
253815	28.5
900015	28.5
253918	28.5
540939	28.5
274467	28.5
111281	28.5
4408009	28
793461	28
789510	28
696948	28
541649	28
549351	28
406908	28
143401	28
90686	28
664177	28
642788	28
589864	28
693031	28
195877	28
560027	22
147268	22
80229	22
715166	22
80619	22
1110537	22
405823	22
396579	22
1106056	22
89370	52.5
582313	52.5
300272	52.5
264371	52.5
1643426	52.5
4462425	52.5
3828866	52.5
2725290	52.5
4436005	52.5
1939082	52.5
4318644	52.5
101225	52.5
4349383	52.5
3172055	52.5
4472698	52.5
362192	52.5
2603843	52.5
4141536	52.5
3199526	52.5
4377394	52.5
4377397	52.5
4349531	52.5
4335424	52.5
4335425	52.5
1728557	52.5
4340434	52.5
4334171	52.5
4435696	52.5
4381761	52.5
2955237	52.5
2565981	52.5
4393588	52.5
2275496	52.5
3701499	52.5
4370071	52.5
4438292	52.5
3392830	52.5
2023732	52.5
1986663	52.5
3828901	52.5
3215238	52.5
2547782	52.5
4435582	52.5
4298954	52.5
2746349	52.5
4414471	52.5
3286271	52.5
3350673	52.5
4459436	52.5
3358212	52.5
4224600	52.5
3552939	52.5
4378739	52.5
4380948	52.5
4457419	52.5
105715	52.5
4439734	52.5
4348778	52.5
2612553	52.5
3654884	52.5
3283485	52.5
3353110	52.5
4429321	52.5
3093917	52.5
4454243	52.5
4411622	52.5
4364539	52.5
3353115	52.5
4401769	52.5
3576919	52.5
4063706	52.5
1863015	52.5
4367696	52.5
3718728	52.5
3684927	52.5
1678863	52.5
3012786	52.5
2615651	52.5
3924713	52.5
3023154	52.5
4419600	52.5
4463076	52.5
4081300	52.5
3028530	52.5
4445071	52.5
608396	52.5
2312840	52.5
3613883	52.5
4366033	52.5
4362976	52.5
4362978	52.5
2527437	52.5
2871842	52.5
3517729	52.5
3828801	52.5
3629684	52.5
367117	52.5
2797980	52.5
3193578	52.5
2346437	52.5
4330131	52.5
2089436	52.5
2089435	52.5
3015891	52.5
4233969	52.5
3689523	52.5
2301851	52.5
4289383	52.5
1505573	52.5
4348819	52.5
364599	52.5
368363	52.5
3192591	52.5
2215848	52.5
3620082	52.5
4324656	52.5
4415196	52.5
363871	52.5
2772153	52.5
4013058	52.5
1658679	52.5
4385601	52.5
3799748	52.5
3040949	52.5
3457677	52.5
2852075	52.5
2238671	52.5
4465038	52.5
3195726	52.5
4391566	52.5
3899011	52.5
4302782	52.5
2952733	52.5
4331694	52.5
2204505	52.5
2578374	52.5
3267887	52.5
4475960	52.5
3611916	52.5
4351733	52.5
2142771	52.5
4415516	52.5
1741490	52.5
4358305	52.5
1776887	52.5
3598946	52.5
3117035	52.5
2572347	52.5
1571244	52.5
4346815	52.5
4475844	52.5
4469890	52.5
2805447	52.5
3218884	52.5
3696410	52.5
2849737	52.5
4377396	52.5
3530920	52.5
4446480	52.5
4331471	52.5
2825793	52.5
4395524	52.5
3237716	52.5
4483329	52.5
4371578	52.5
2457858	52.5
4354060	52.5
1580377	52.5
971543	52.5
856927	52.5
670334	52.5
691108	52.5
629425	52.5
648064	52.5
663706	52.5
728041	52.5
665996	52.5
765665	52.5
655170	52.5
799426	52.5
622088	52.5
663858	52.5
771394	52.5
696166	52.5
608824	52.5
725316	52.5
680340	52.5
768887	52.5
718281	52.5
786388	52.5
405388	52.5
393884	52.5
543604	52.5
553327	52.5
656182	52.5
373663	52.5
1604096	52.5
4450732	52.5
702079	52.5
4326280	52.5
4210139	52.5
3215831	52.5
4386407	52.5
4366912	52.5
296462	52.5
1815416	52.5
3327541	52.5
4469924	52.5
4052620	52.5
727220	52.5
88281	52.5
366952	52.5
2270271	52.5
2441330	52.5
3403069	52.5
2268864	52.5
2377390	52.5
4128043	52.5
4376477	52.5
3997008	52.5
4359666	52.5
4480138	52.5
696423	52.5
214774	52.5
84072	52.5
2282633	52.5
3747075	52.5
4469020	52.5
3758550	52.5
2858777	52.5
2806316	52.5
4374581	52.5
3019899	52.5
4435120	52.5
4416175	52.5
3073033	52.5
4352894	52.5
2484313	52.5
2876794	52.5
3487222	52.5
3758543	52.5
1741679	52.5
4397810	52.5
82680	52.5
3196189	52.5
2374730	52.5
3662644	52.5
4381348	52.5
2388086	52.5
4393291	52.5
2216074	52.5
1638969	52.5
2227908	52.5
4328563	52.5
4480825	52.5
2085957	52.5
4465002	52.5
4200912	52.5
3191202	52.5
4386639	52.5
3072298	52.5
2558489	52.5
2558483	52.5
361437	52.5
357983	52.5
2592157	52.5
4406750	52.5
3216827	52.5
1626043	52.5
3713334	52.5
1959226	52.5
4434820	52.5
4446044	52.5
1700045	52.5
4432495	52.5
4324686	52.5
2600153	52.5
4396081	52.5
2427514	52.5
2792230	52.5
3725875	52.5
3129560	52.5
3843891	52.5
3579221	52.5
3278921	52.5
3648977	52.5
4361622	52.5
4475196	52.5
1938800	52.5
4327358	52.5
4457421	52.5
4471871	52.5
1595212	52.5
3184773	52.5
4337962	52.5
4452194	52.5
4405246	52.5
1773578	52.5
1937041	52.5
4450801	52.5
2074317	52.5
3196812	52.5
2096650	52.5
4154328	52.5
2045113	52.5
1593225	52.5
3917518	52.5
3353108	52.5
4360721	52.5
4421750	52.5
3623953	52.5
4068754	52.5
4387753	52.5
3567032	52.5
2005110	52.5
2343952	52.5
4449981	52.5
2092112	52.5
3978871	52.5
4477073	52.5
4414464	52.5
4443219	52.5
4449376	52.5
1982027	52.5
2870679	52.5
4355702	52.5
4387708	52.5
4392693	52.5
2074864	52.5
4072712	52.5
4471114	52.5
2796208	52.5
2484202	52.5
3285237	52.5
4475361	52.5
3583934	52.5
4345205	52.5
4328866	52.5
4444665	52.5
4328867	52.5
4353743	52.5
4353742	52.5
4368917	52.5
325698	52.5
2237539	52.5
4373885	52.5
2658175	52.5
3587179	52.5
4350588	52.5
4350587	52.5
4454636	52.5
4402723	52.5
1856851	52.5
4457925	52.5
4458883	52.5
4458886	52.5
4336294	52.5
4400499	52.5
4433112	52.5
2890159	52.5
3926233	52.5
3358214	52.5
3250226	52.5
4455585	52.5
4049987	52.5
3008794	52.5
3747074	52.5
