GenomeID	Salt_optimum
678402	1
824284	1
820075	1
817305	1
564228	1
108279	1
582121	1
536378	1
243125	1
488026	1
488071	1
488090	1
589503	1
4331428	1
246525	1
1132548	1
243869	1
4331425	1
249845	1
4445213	1
537197	1
591112	1
567472	1
576126	1
4331429	1
236267	1
585161	1
4341752	1
878103	1
4331431	1
247510	1
247554	1
1131270	1
253815	1
900015	1
253918	1
540939	1
274467	1
111281	1
4408009	5.25
793461	5.25
789510	5.25
696948	5.25
541649	5.25
549351	5.25
406908	5.25
143401	5.25
90686	5.25
664177	5.25
642788	5.25
589864	5.25
693031	5.25
195877	5.25
560027	3.5
147268	3.5
80229	3.5
715166	3.5
80619	3.5
1110537	3.5
405823	3.5
396579	3.5
1106056	3.5
89370	2.5
582313	2.5
300272	2.5
264371	2.5
1643426	2.5
4462425	2.5
3828866	2.5
2725290	2.5
4436005	2.5
1939082	2.5
4318644	2.5
101225	2.5
4349383	2.5
3172055	2.5
4472698	2.5
362192	2.5
2603843	2.5
4141536	2.5
3199526	2.5
4377394	2.5
4377397	2.5
4349531	2.5
4335424	2.5
4335425	2.5
1728557	2.5
4340434	2.5
4334171	2.5
4435696	2.5
4381761	2.5
2955237	2.5
2565981	2.5
4393588	2.5
2275496	2.5
3701499	2.5
4370071	2.5
4438292	2.5
3392830	2.5
2023732	2.5
1986663	2.5
3828901	2.5
3215238	2.5
2547782	2.5
4435582	2.5
4298954	2.5
2746349	2.5
4414471	2.5
3286271	2.5
3350673	2.5
4459436	2.5
3358212	2.5
4224600	2.5
3552939	2.5
4378739	2.5
4380948	2.5
4457419	2.5
105715	2.5
4439734	2.5
4348778	2.5
2612553	2.5
3654884	2.5
3283485	2.5
3353110	2.5
4429321	2.5
3093917	2.5
4454243	2.5
4411622	2.5
4364539	2.5
3353115	2.5
4401769	2.5
3576919	2.5
4063706	2.5
1863015	2.5
4367696	2.5
3718728	2.5
3684927	2.5
1678863	2.5
3012786	2.5
2615651	2.5
3924713	2.5
3023154	2.5
4419600	2.5
4463076	2.5
4081300	2.5
3028530	2.5
4445071	2.5
608396	2.5
2312840	2.5
3613883	2.5
4366033	2.5
4362976	2.5
4362978	2.5
2527437	2.5
2871842	2.5
3517729	2.5
3828801	2.5
3629684	2.5
367117	2.5
2797980	2.5
3193578	2.5
2346437	2.5
4330131	2.5
2089436	2.5
2089435	2.5
3015891	2.5
4233969	2.5
3689523	2.5
2301851	2.5
4289383	2.5
1505573	2.5
4348819	2.5
364599	2.5
368363	2.5
3192591	2.5
2215848	2.5
3620082	2.5
4324656	2.5
4415196	2.5
363871	2.5
2772153	2.5
4013058	2.5
1658679	2.5
4385601	2.5
3799748	2.5
3040949	2.5
3457677	2.5
2852075	2.5
2238671	2.5
4465038	2.5
3195726	2.5
4391566	2.5
3899011	2.5
4302782	2.5
2952733	2.5
4331694	2.5
2204505	2.5
2578374	2.5
3267887	2.5
4475960	2.5
3611916	2.5
4351733	2.5
2142771	2.5
4415516	2.5
1741490	2.5
4358305	2.5
1776887	2.5
3598946	2.5
3117035	2.5
2572347	2.5
1571244	2.5
4346815	2.5
4475844	2.5
4469890	2.5
2805447	2.5
3218884	2.5
3696410	2.5
2849737	2.5
4377396	2.5
3530920	2.5
4446480	2.5
4331471	2.5
2825793	2.5
4395524	2.5
3237716	2.5
4483329	2.5
4371578	2.5
2457858	2.5
4354060	2.5
1580377	2.5
971543	2.5
856927	2.5
670334	2.5
691108	2.5
629425	2.5
648064	2.5
663706	2.5
728041	2.5
665996	2.5
765665	2.5
655170	2.5
799426	2.5
622088	2.5
663858	2.5
771394	2.5
696166	2.5
608824	2.5
725316	2.5
680340	2.5
768887	2.5
718281	2.5
786388	2.5
405388	2.5
393884	2.5
543604	2.5
553327	2.5
656182	2.5
373663	2.5
1604096	2.5
4450732	2.5
702079	2.5
4326280	2.5
4210139	2.5
3215831	2.5
4386407	2.5
4366912	2.5
296462	2.5
1815416	2.5
3327541	2.5
4469924	2.5
4052620	2.5
727220	2.5
88281	2.5
366952	2.5
2270271	2.5
2441330	2.5
3403069	2.5
2268864	2.5
2377390	2.5
4128043	2.5
4376477	2.5
3997008	2.5
4359666	2.5
4480138	2.5
696423	2.5
214774	2.5
84072	2.5
2282633	2.5
3747075	2.5
4469020	2.5
3758550	2.5
2858777	2.5
2806316	2.5
4374581	2.5
3019899	2.5
4435120	2.5
4416175	2.5
3073033	2.5
4352894	2.5
2484313	2.5
2876794	2.5
3487222	2.5
3758543	2.5
1741679	2.5
4397810	2.5
82680	2.5
3196189	2.5
2374730	2.5
3662644	2.5
4381348	2.5
2388086	2.5
4393291	2.5
2216074	2.5
1638969	2.5
2227908	2.5
4328563	2.5
4480825	2.5
2085957	2.5
4465002	2.5
4200912	2.5
3191202	2.5
4386639	2.5
3072298	2.5
2558489	2.5
2558483	2.5
361437	2.5
357983	2.5
2592157	2.5
4406750	2.5
3216827	2.5
1626043	2.5
3713334	2.5
1959226	2.5
4434820	2.5
4446044	2.5
1700045	2.5
4432495	2.5
4324686	2.5
2600153	2.5
4396081	2.5
2427514	2.5
2792230	2.5
3725875	2.5
3129560	2.5
3843891	2.5
3579221	2.5
3278921	2.5
3648977	2.5
4361622	2.5
4475196	2.5
1938800	2.5
4327358	2.5
4457421	2.5
4471871	2.5
1595212	2.5
3184773	2.5
4337962	2.5
4452194	2.5
4405246	2.5
1773578	2.5
1937041	2.5
4450801	2.5
2074317	2.5
3196812	2.5
2096650	2.5
4154328	2.5
2045113	2.5
1593225	2.5
3917518	2.5
3353108	2.5
4360721	2.5
4421750	2.5
3623953	2.5
4068754	2.5
4387753	2.5
3567032	2.5
2005110	2.5
2343952	2.5
4449981	2.5
2092112	2.5
3978871	2.5
4477073	2.5
4414464	2.5
4443219	2.5
4449376	2.5
1982027	2.5
2870679	2.5
4355702	2.5
4387708	2.5
4392693	2.5
2074864	2.5
4072712	2.5
4471114	2.5
2796208	2.5
2484202	2.5
3285237	2.5
4475361	2.5
3583934	2.5
4345205	2.5
4328866	2.5
4444665	2.5
4328867	2.5
4353743	2.5
4353742	2.5
4368917	2.5
325698	2.5
2237539	2.5
4373885	2.5
2658175	2.5
3587179	2.5
4350588	2.5
4350587	2.5
4454636	2.5
4402723	2.5
1856851	2.5
4457925	2.5
4458883	2.5
4458886	2.5
4336294	2.5
4400499	2.5
4433112	2.5
2890159	2.5
3926233	2.5
3358214	2.5
3250226	2.5
4455585	2.5
4049987	2.5
3008794	2.5
3747074	2.5
4454248	2.5
3078940	2.5
2035406	2.5
2314389	2.5
4328551	2.5
4184572	2.5
4417324	2.5
4385917	2.5
2687755	2.5
4482504	2.5
3008042	2.5
1733120	2.5
3832677	2.5
4434766	2.5
2950921	2.5
3832470	2.5
4296837	2.5
4346496	2.5
4141759	2.5
1661969	2.5
4251321	2.5
4184567	2.5
1521362	2.5
3931540	2.5
3189620	2.5
4468510	2.5
4341446	2.5
4329146	2.5
4347526	2.5
4353496	2.5
4325158	2.5
4335481	2.5
1571221	2.5
2029689	2.5
4455519	2.5
3915203	2.5
4441259	2.5
3670453	2.5
4373977	2.5
4350288	2.5
3209979	2.5
4191310	2.5
4474370	2.5
4457498	2.5
4445569	2.5
4387754	2.5
2789395	2.5
4407367	2.5
4299833	2.5
1571240	2.5
1593224	2.5
3671152	2.5
1705127	2.5
2560612	2.5
4473710	2.5
2658706	2.5
3569800	2.5
4481711	2.5
4446064	2.5
3440974	2.5
1913688	2.5
2287437	2.5
1750665	2.5
1593218	2.5
4475963	2.5
3815959	2.5
1980585	2.5
3453391	2.5
4407990	2.5
3303757	2.5
4474367	2.5
4137240	2.5
4128775	2.5
3594551	2.5
3152796	2.5
2921545	2.5
4471115	2.5
2565984	2.5
3314177	2.5
4367644	2.5
3708140	2.5
2091371	2.5
4364124	2.5
4120222	2.5
3724366	2.5
4392605	2.5
4346691	2.5
4336642	2.5
1817268	2.5
2551492	2.5
3578744	2.5
4251761	2.5
4454717	2.5
2507344	2.5
1693610	2.5
4436198	2.5
3511772	2.5
4351671	2.5
2427943	2.5
4366028	2.5
3933494	2.5
4450635	2.5
4199281	2.5
4436663	2.5
4326282	2.5
4360723	2.5
1993717	2.5
2893542	2.5
3035959	2.5
1959225	2.5
2491914	2.5
2166233	2.5
1742239	2.5
4159128	2.5
2840210	2.5
2535454	2.5
4421901	2.5
2766325	2.5
2275483	2.5
2493508	2.5
4392604	2.5
3901547	2.5
3029456	2.5
4315367	2.5
2738384	2.5
108674	2.5
557384	2.5
4391715	2.5
3334986	2.5
4178495	2.5
4451441	2.5
2272564	2.5
2272569	2.5
4467203	2.5
1803622	2.5
3487212	2.5
297365	2.5
4141001	2.5
4336314	2.5
4471106	2.5
4353728	2.5
2195545	2.5
3547941	2.5
4352271	2.5
4382253	2.5
4174920	2.5
613397	2.5
64346	2.5
85315	2.5
2070191	2.5
4438848	2.5
4369741	2.5
4397012	2.5
2207436	2.5
1744263	2.5
2799290	2.5
4384510	2.5
4340950	2.5
4353996	2.5
4390926	2.5
2177520	2.5
2540435	2.5
1999047	2.5
3974601	2.5
4139745	2.5
3226031	2.5
2881200	2.5
4417696	2.5
2016291	2.5
2560610	2.5
