GenomeID	Oxygen_tolerance
419448	2
4370723	2
140023	2
140621	2
140545	2
139581	2
1107722	2
618249	2
7063	2
365224	2
358874	2
365114	2
358246	2
358136	2
364739	2
368621	2
359616	2
359808	2
367614	2
362634	2
358219	2
4483453	2
903642	2
356813	2
360372	2
817275	2
366615	2
7062	2
341127	2
4424098	2
4353337	2
930800	2
909567	2
1100916	2
1040921	2
974415	2
980387	2
1061907	2
901694	2
967099	2
864703	2
951089	2
1083535	2
1010522	2
1090461	2
881035	2
901874	2
988394	2
1082930	2
946164	2
948089	2
1050119	2
1075899	2
978327	2
1004875	2
950713	2
983481	2
1016455	2
905536	2
940426	2
1032042	2
856368	2
1002656	2
1008044	2
996475	2
916338	2
880022	2
1019008	2
947140	2
894887	2
869871	2
1000163	2
951731	2
1009778	2
1078019	2
887114	2
1006889	2
915564	2
988494	2
1104378	2
939837	2
1040606	2
992852	2
914474	2
986171	2
891196	2
949600	2
982522	2
915364	2
1003565	2
1063370	2
1011568	2
1030789	2
951776	2
935689	2
947047	2
861757	2
876793	2
914990	2
963837	2
867020	2
876652	2
1058184	2
884002	2
1064014	2
905828	2
882287	2
964195	2
1020615	2
896253	2
1006208	2
866835	2
961886	2
934808	2
892611	2
918867	2
953544	2
967525	2
1101382	2
1062558	2
853583	2
1072134	2
1033521	2
1020162	2
884266	2
1031734	2
862576	2
1044819	2
883151	2
1052852	2
1060604	2
923644	2
872850	2
979345	2
988866	2
957476	2
732997	2
791023	2
637339	2
628031	2
677183	2
650320	2
657260	2
694323	2
698221	2
683931	2
687357	2
691514	2
653328	2
736956	2
756724	2
633834	2
629274	2
751016	2
644997	2
740192	2
753122	2
738650	2
795502	2
668897	2
656854	2
700648	2
680199	2
730308	2
750214	2
657182	2
780576	2
692348	2
698709	2
747704	2
620038	2
709600	2
670556	2
641799	2
764154	2
785087	2
648554	2
706354	2
736655	2
797795	2
618168	2
786032	2
649070	2
737518	2
620034	2
630968	2
701152	2
659954	2
642835	2
787231	2
653730	2
702994	2
687894	2
701391	2
754284	2
761066	2
633648	2
627035	2
666871	2
737864	2
691767	2
651307	2
713017	2
721633	2
748097	2
643090	2
641952	2
797205	2
706307	2
687295	2
667597	2
745740	2
662033	2
620933	2
625067	2
725602	2
719926	2
788908	2
743632	2
786280	2
796525	2
622219	2
633216	2
758975	2
743771	2
642725	2
682911	2
702518	2
727499	2
733523	2
631642	2
669686	2
662206	2
757044	2
611620	2
750936	2
622759	2
631771	2
665600	2
434113	2
430337	2
446709	2
466575	2
423501	2
390279	2
443513	2
386855	2
410741	2
428760	2
399645	2
398742	2
967971	2
747513	2
926546	2
653399	2
1068437	2
716788	2
1073075	2
782205	2
1033208	2
720644	2
997948	2
720823	2
923587	2
688922	2
988141	2
989863	2
620505	2
932163	2
701419	2
1068141	2
977266	2
912214	2
1099232	2
904547	2
1039449	2
992467	2
868050	2
999570	2
907876	2
919144	2
916136	2
1097108	2
1007374	2
996213	2
940240	2
1101831	2
923219	2
904192	2
915387	2
857364	2
1049976	2
861389	2
1009780	2
1040683	2
1077057	2
1049836	2
991440	2
1037872	2
974961	2
1068543	2
1015056	2
926490	2
1028753	2
930934	2
989783	2
1088328	2
954889	2
998172	2
1002809	2
941964	2
948689	2
1025022	2
1081074	2
1081683	2
754454	2
773728	2
664537	2
694177	2
770913	2
712050	2
786401	2
716935	2
725790	2
623846	2
632549	2
733555	2
715267	2
656779	2
726771	2
797104	2
649522	2
735754	2
798475	2
606487	2
703789	2
623663	2
787510	2
755247	2
737618	2
776491	2
710132	2
674060	2
715217	2
750576	2
703409	2
630800	2
622206	2
786149	2
714447	2
748647	2
685068	2
723832	2
780554	2
779219	2
709332	2
796561	2
741836	2
721243	2
771508	2
998766	2
686428	2
1020115	2
772753	2
908385	2
734883	2
